3666.marriedexemp,9h000,9000
16961.marriedexemp,2o20,220
8117.gender,***,F
14607.city,HARPR,HARPER
19855.childexemp,***,0
8950.childexemp,,0
13214.marriedexemp,200,2000
5941.gender,,F
15830.singleexemp,,0
18105.state,eHI,HI
2696.state,wDC,DC
13753.gender,bF,F
18577.childexemp,w0,0
17432.gender,***,F
5950.singleexemp,c0,0
5660.state,oNC,NC
11914.marriedexemp,***,0
9636.marriedexemp,d0,0
15455.gender,***,F
10530.state,JN,NJ
13728.state,J,NJ
8923.childexemp,,0
17753.singleexemp,***,0
3320.gender,,M
14098.childexemp,b0,0
16485.marriedexemp,e220,220
2325.marriedexemp,2p740,2740
3766.childexemp,v0,0
3680.marriedexemp,,0
16638.marriedexemp,600,6600
18665.state,T,CT
19156.city,HALEY,HAILEY
1361.gender,,M
19612.singleexemp,z0,0
18731.marriedexemp,660,6600
14472.gender,,F
3102.marriedexemp,***,0
18091.singleexemp,r0,0
11866.state,TC,CT
10554.childexemp,200x0,2000
5204.marriedexemp,i0,0
16753.singleexemp,w0,0
5077.childexemp,,0
11280.childexemp,3t00,300
3672.childexemp,t0,0
280.singleexemp,,0
17138.singleexemp,e0,0
17810.state,X,TX
2231.state,C,DC
8137.city,HAMILTNO,HAMILTON
18576.singleexemp,g0,0
19536.state,J,NJ
17470.childexemp,n0,0
19137.city,PHONEIX,PHOENIX
11800.childexemp,p0,0
6316.state,XT,TX
474.singleexemp,130,1300
16177.singleexemp,210,2100
19242.city,HAGERSTWON,HAGERSTOWN
1157.gender,kM,M
19306.state,Z,AZ
17996.singleexemp,***,0
18373.state,gCO,CO
7590.marriedexemp,j4200,4200
15050.state,CjO,CO
11989.marriedexemp,4200***,4200
4275.city,VOpLGA,VOLGA
1268.state,IW,WI
18854.state,J,NJ
16239.childexemp,03,103
2335.state,C,DC
13614.gender,,F
216.state,CD,DC
11059.state,gNJ,NJ
2647.state,T,CT
9273.gender,***,F
16763.state,nCO,CO
14633.state,O,CO
9158.state,dCT,CT
3208.singleexemp,k0,0
16162.city,HAwNNA,HANNA
2541.marriedexemp,***,0
741.state,DaC,DC
2862.state,C,DC
717.city,xLAKOTA,LAKOTA
18218.marriedexemp,,0
6563.city,WACpO,WACO
17493.gender,***,F
471.city,GORONVILLE,GORDONVILLE
19465.childexemp,b0,0
6482.singleexemp,2700***,2700
9483.marriedexemp,c220,220
5444.state,T,CT
18168.city,HANANH,HANNAH
673.state,yMA,MA
17774.marriedexemp,147,174
1125.state,VW,WV
2299.gender,oF,F
6782.childexemp,100j0,1000
18201.gender,uM,M
9578.gender,***,M
11332.city,HADDOK,HADDOCK
3993.gender,kF,F
16989.state,CxT,CT
9885.singleexemp,2z000,2000
3721.gender,***,M
10105.singleexemp,***,0
10336.marriedexemp,m220,220
15152.city,YUNG AMERICA,YOUNG AMERICA
16630.state,JN,NJ
19684.marriedexemp,900,9000
15865.marriedexemp,20,220
8692.gender,***,F
10298.singleexemp,***,0
5002.state,fCT,CT
12022.gender,kF,F
3840.childexemp,q0,0
1526.gender,vF,F
1890.marriedexemp,,0
13047.state,hCO,CO
18183.state,CxO,CO
7451.marriedexemp,220***,220
17415.gender,,F
13402.state,T,CT
14765.childexemp,***,0
17558.marriedexemp,202,220
4647.state,T,CT
16705.city,GUAjYNABO,GUAYNABO
12231.singleexemp,q0,0
19217.singleexemp,***,0
7794.marriedexemp,20,220
13773.marriedexemp,v6600,6600
10955.childexemp,o0,0
16229.singleexemp,,0
15204.state,SwD,SD
11341.singleexemp,q0,0
14514.state,V,WV
18073.gender,vM,M
11943.marriedexemp,20,220
8677.gender,,F
10591.city,ALLSVILLE,HALLSVILLE
16454.state,OC,CO
18616.singleexemp,78,87
12496.childexemp,,0
18094.gender,***,M
14056.state,CcA,CA
18202.marriedexemp,***,0
1187.state,DcC,DC
3096.marriedexemp,260,2600
7560.state,A,CA
14754.gender,***,M
10899.childexemp,***,0
6802.childexemp,0,20
8956.childexemp,***,0
16487.singleexemp,,0
14782.state,TC,CT
5205.city,GROON,GROTON
17704.gender,***,F
13433.childexemp,d0,0
2913.state,NzV,NV
13100.marriedexemp,,0
11774.city,CHARESTON,CHARLESTON
8812.gender,***,F
17030.childexemp,c0,0
13481.childexemp,q0,0
18590.marriedexemp,,0
14633.singleexemp,w0,0
9428.gender,***,F
2564.state,CD,DC
2161.state,DnC,DC
18647.marriedexemp,208b0,2080
2207.gender,gF,F
10805.state,rCT,CT
18322.state,T,CT
14729.state,ChT,CT
11086.city,SHLEBYVILLE,SHELBYVILLE
4228.singleexemp,f0,0
3806.marriedexemp,000,3000
9213.childexemp,***,0
3660.marriedexemp,o0,0
10721.state,T,CT
2030.marriedexemp,0300,3000
6604.state,CpT,CT
9850.state,rKS,KS
8956.state,O,CO
15183.state,iMA,MA
290.singleexemp,***,0
9205.city,SACRyAMENTO,SACRAMENTO
9228.singleexemp,***,0
13361.city,bMAUNALOA,MAUNALOA
15234.singleexemp,,0
12445.state,EN,NE
10163.gender,,M
10372.singleexemp,***,0
18380.city,JUANA DIZA,JUANA DIAZ
2211.state,C,DC
9895.state,OM,MO
6747.gender,***,M
8922.singleexemp,200,2000
6084.state,TC,CT
19860.singleexemp,,0
14840.gender,***,F
7251.city,NEWAKR,NEWARK
15638.marriedexemp,2800,2080
17604.state,T,CT
5481.singleexemp,e0,0
18992.gender,nM,M
12419.marriedexemp,***,0
8579.city,CHAUTAUQmUA,CHAUTAUQUA
14207.state,T,CT
2590.singleexemp,,0
1577.state,CD,DC
2434.marriedexemp,w0,0
830.gender,***,M
6712.marriedexemp,20,220
10720.childexemp,,0
10403.marriedexemp,20,220
17689.city,xHARLOWTON,HARLOWTON
7024.gender,aF,F
3360.city,KINGSrPORT,KINGSPORT
15443.marriedexemp,,0
10847.city,DOVRE AFB,DOVER AFB
18944.gender,***,F
8817.state,iCO,CO
3020.marriedexemp,q220,220
3705.gender,sF,F
10230.childexemp,***,0
8040.childexemp,,0
2606.state,VrT,VT
6679.gender,yM,M
7505.marriedexemp,22e0,220
12899.singleexemp,,0
15745.city,GUID,GUILD
3377.state,pWI,WI
9821.city,UGAYNABO,GUAYNABO
14181.marriedexemp,***,0
6881.state,A,CA
