id,jounral_abbreviation,article_title,journal_title,article_language,article_jcreated_at,journal_issn,article_jvolumn,article_pagination,article_jissue,author_list
384767,Crit. Care Med.,A multinational study of thromboprophylaxis practice in critically ill children.,Critical care medicine,eng,1/14/05,1530-0293,42,1232-40,5,"{""Sarah H O'Brien"",""Marisa Tucci"",""Antonio Rodriguez Nunez"",""Philip C Spinella"",""Li Qin"",""Edward Vincent S Faustino"",""Adrienne G Randolph"",""Edward Truemper"",""Simon Li"",""Kimberly Marohn"",""Sheila Hanson"",""Michael Yung"",""[Collective Name] PROphylaxis against ThRombosis prACTice (PROTRACT) Study Investigators of the PALISI BloodNet""}"
855912,empty,Asymmetric inheritance of mitochondrial content in aging budding yeast cells,"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",English,1/12/01,empty,23,empty,24,"{""E. A. Martin"",""L. F. Costa"",""H. Li"",""Y. Zhang"",""M. P. Viana"",""S. M. Rafelski"",""W. F. Marshall""}"
710727,empty,Physical activity moderates time-of-day differences in older adults' working memory performance.,Experimental Aging Research,empty,1/6/10,0361-073X     1096-4657,32,431-446 16p,4,"{""DeLosh EL"",""Bugg JM"",""Clegg BA""}"
816996,JOHNS HOPKINS MED. J.,Uses of the electrical skin resistance method in the study of patients with neck and upper extremity pain,Johns Hopkins Medical Journal,English,1/1/75,empty,137,69-74,2,"{""C.P. Richter"",""L.H. Riley Jr.""}"
625016,empty,[New aspects in hernia surgery].,Urologe A,ger,1/5/07,0340-2592,44,774-9,7,"{""P E Goretzki"",""B J Lammers"",""T Otto""}"
275675,Preventive medicine,An exploration of self-reported negative affect by adolescents as a reason for smoking: implications for tobacco prevention and intervention programs,Prev Med,eng,1/5/01,0091-7435,41,589-96,2,"{""J. Robinson"",""D. W. Smith"",""B. Colwell"",""S. L. Stevens"",""C. McMillan""}"
967376,empty,Diagnosis of peripheral lung cancer with three echoic features via endobronchial ultrasound,Chest,English,1/7/01,empty,132,922-9,3,"{""H. C. Chen"",""S. M. Lin"",""C. L. Chou"",""C. T. Yu"",""H. P. Kuo"",""C. H. Kuo""}"
640230,empty,A meta-analysis of labor supply effects of interventions for major depressive disorder.,Psychiatric Services.,eng,1/6/02,1075-2730,57,212-8,2,"{""Justin W Timbie"",""Marcela Horvitz-Lennon"",""Sharon-Lise T Normand"",""Richard G Frank""}"
625663,Arch.Gen.Psychiatry,Combined pharmacotherapy and psychological treatment for depression: a systematic review.,Archives of General Psychiatry,eng,1/4/07,0003-990X,61,714-9,7,"{""Paola Bollini"",""Giuseppe Tibaldi"",""Bruce Kupelnick"",""Carmine Munizza"",""Sandro Pampallona""}"
480649,empty,Dyspareunia and sexual dysfunction following vaginal delivery in thai primiparous women with second degree perineal tear: A prospective cohort study,Journal of Sexual Medicine,empty,1/15/01,empty,12,58,0,"{""A. Ungkanungdecha"",""C. Chayachinda"",""J. Veeragul"",""J. Jisabai""}"
782541,Interact Cardiovasc Thorac Surg,eComment. EuroSCORE II - corrected in-hospital mortality rate in a modern cohort of patients undergoing cardiac surgery,Interactive Cardiovascular & Thoracic Surgery,English,1/14/01,1569-9285,19,733,5,"{""D. G. Nezic""}"
692358,empty,"The effect of a cervical lateral glide on the upper limb neurodynamic test: a blinded, placebo-controlled investigation","The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",empty,1/3/01,empty,0,10-Oct,0,"{""A Green"",""J Lewis"",""C Worsfold"",""J Saranga""}"
836847,empty,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,Curr. Probl. Cardiol.,empty,empty,-10475,33,203-277,5,"{""Elefteriades J.A.""}"
867207,empty,Early predicting of blood component quality by Statistical Process Control,Vox Sanguinis,empty,1/10/01,0042-9007,99,227,0,"{""H. Jungk"",""W. Madla"",""V. Schottstedt"",""T. Alt""}"
253149,empty,Lifetime risk of suicide in affective disorders,The British Journal of Psychiatry,empty,1/1/98,0007-1250 1472-1465,173,185-185,0,"{""A. S. Lee"",""S. Davies"",""P. C. Naik""}"
929971,empty,A geographic analysis of chronically homeless adults before and after enrollment in a multi-site supported housing initiative: community characteristics and migration,American Journal of Community Psychology,empty,1/11/01,0091-0562,48,341-51,3,"{""R. A. Rosenheck"",""J. Tsai"",""A. S. Mares""}"
470385,empty,Fetal cleft lip and palate detection by three-dimensional ultrasonography,Ultrasound Obstet. Gynecol.,empty,empty,-8906,16,314-320,4,"{""Lee W."",""Kirk J.S."",""Shaheen K.W."",""Romero R."",""Hodges A.N."",""Comstock C.H.""}"
731703,empty,Substance Abuse and Trauma in Incarcerated Women,empty,empty,1/11/01,empty,0,empty,0,"{""NCT01413984 ""}"
113399,empty,Use of Job Design to Reduce Mechanical Stress on the Back,empty,empty,1/1/89,empty,0,323-326,0,"{""D. W. Badger""}"
685178,empty,Rehabilitation of swallowing by exercise in tube-fed patients with pharyngeal dysphagia secondary to abnormal UES opening.,Annual Abstract Supplement,eng,1/2/05,0016-5085,122,1314-21,5,"{""Mark Kern"",""Karen Dikeman"",""Barbara Grande"",""Marta Kazandjian"",""Terilynn Nitschke"",""Stephanie Daniels"",""Benson Massey"",""Reza Shaker"",""Caryn Easterling""}"
653325,J Psychiatr Res,A meta-analysis of two genome-wide association studies identifies 3 new loci for alcohol dependence.,Journal of psychiatric research,eng,1/11/11,1879-1379,45,1419-25,11,"{""Min Zeng"",""Yue Pan"",""Qunyuan Zhang"",""Ke-Sheng Wang"",""Nagesh Aragam"",""Xuefeng Liu""}"
893573,empty,Crowdsourced Multimedia Enhanced Spatio-temporal Constraint Based on-Demand Social Network for Group Mobility,Proceedings of the 23rd ACM international conference on Multimedia,empty,1/15/01,978-1-4503-3459-4,0,761-762,0,"{""Ahmad Qamar"",""Muhammad Shahid"",""Md. Abdur Rahman"",""Ahmed Lbath"",""Akhlaq Ahmad"",""Faizan Ur Rehman"",""Abdullah Murad"",""Bilal Sadiq""}"
56272,Neurology,Impaired default network functional connectivity in autosomal dominant Alzheimer disease.,Neurology,eng,8/20/13,1526-632X,81,736-44,8,"{""Virginia D Buckles"",""Andrew J Saykin"",""Eric McDade"",""Stephen P Salloway"",""Aaron P Schultz"",""Peter R Schofield"",""Randall Bateman"",""Adam M Brickman"",""Nick C Fox"",""John C Morris"",""John M Ringman"",""Christopher C Rowe"",""Paul Thompson"",""Clifford Jack"",""Beau M Ances"",""Allison M Goate"",""Robert A Koeppe"",""Stephen Correia"",""Jasmeer P Chhatwal"",""Caroline A Sullivan"",""Anne M Fagan"",""Richard Mayeux"",""Daniel S Marcus"",""Tammie L S Benzinger"",""Keith Johnson"",""Reisa A Sperling"",""Chengjie Xiong""}"
737786,empty,Cranial reconstruction of major traumatic defects in children with osteoinductive and resorbable materials,International Journal of Oral and Maxillofacial Surgery,empty,1/11/01,0901-5027,40,1024-1025,0,"{""R. R. M. Bos"",""E. W. Hoving"",""M. Wagemakers""}"
680306,J. Am. Vet. Med. Assoc.,Meta-analysis of the effects of sometribove zinc suspension on the production and health of lactating dairy cows.,Journal of the American Veterinary Medical Association,eng,1/14/09,1943-569X,245,550-64,5,"{""William W Thatcher"",""Normand R St-Pierre"",""Dale E Bauman"",""Joseph S Hogan"",""K Larry Smith"",""Robert J Collier"",""George A Milliken"",""Jan K Shearer""}"
53877,empty,"Journal of Health Communication : International Perspectives The Effect of an Internet-Based , Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity",empty,empty,1/14/01,empty,0,37-41 DO  - 10.1080/10810730902805788,0,"{""Sheu-jen Huang"",""Maiga Chang"",""Wen-chi Hung"",""Janie Chang""}"
504928,empty,Azathioprine for multiple sclerosis,empty,empty,1/7/01,empty,0,empty,4,"{""Ilaria Casetta"",""Gerardo Iuliano"",""Graziella Filippini""}"
198650,empty,Wound care,empty,empty,1/1/92,empty,7,27-32 ST  - Wound care-,0,{NULL}
671386,J Med Imaging Radiat Oncol,Comparison between incidental malignant and benign breast lesions detected by computed tomography: a systematic review.,Journal of medical imaging and radiation oncology,eng,1/13/10,1754-9485,57,529-33,5,"{""Jasmin Abbas"",""Cholpan Jasaabuu"",""Andreas Gunter Bach"",""Alexey Surov"",""Dominik Schramm"",""Andreas Wienke""}"
981412,empty,"Plant Kunitz proteinase inhibitor attenuates inflammation, oxidative stress and remodeling induced by elastase in mice",European Respiratory Journal,empty,1/14/01,empty,44,empty,0,"{""N. M. Pinheiro"",""R. Almeida-Reis"",""L. Oliva"",""M. A. Martins"",""M. L. V. Oliva"",""O. A. Theodoro-Junior"",""E. A. Leick"",""I. F. L. C. Tibrio"",""C. M. Prado"",""R. F. Righetti"",""B. T. M. Oliveira""}"
785472,PloS one,Streptococcus pneumoniae carriage in the Gaza strip,PLoS One,eng,1/12/01,1932-6203,7,e35061,4,"{""G. Rahav"",""G. Regev-Yochay"",""I. Abullaish"",""A. Elhamdany"",""R. Malley"",""M. Raz"",""A. Goral"",""Y. Roytman"",""B. Shainberg"",""M. Varon"",""A. Ziv""}"
734077,empty,Direct healthcare costs and cost-effectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results,Kardiologia Polska,English,1/14/01,0022-9032,72,823-830,9,"{""M. Niewada"",""J. Paweska"",""A. Budaj"",""T. Macioch"",""P. Perkowski""}"
46028,Eur J Appl Physiol Occup Physiol,Changes in renal blood flow measured by radionuclide angiography following exhausting exercise in humans.,European journal of applied physiology and occupational physiology,eng,1/1/96,0301-5548,74,7-Jan,1,"{""S Ikawa"",""M Sudoh"",""M Suzuki"",""S Matsubara"",""M Shiota"",""K Kawakami""}"
743129,Nutrients,Hormonal and dietary characteristics in obese human subjects with and without food addiction.,Nutrients,eng,1/15/01,2072-6643,7,223-38,1,"{""Pardis Pedram"",""Guang Sun""}"
392246,empty,Importance of membrane materials for blood purification devices in critical care.,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,eng,1/9/02,1473-0502,40,23-31,1,"{""Narumi Tomisawa"",""Akihiro C Yamashita""}"
904889,empty,Myofascial trigger points: Spontaneous electrical activity and its consequences for pain induction and propagation,Chin. Med,empty,empty,1749-8546,6,empty,0,"{""Ge H.-Y."",""Fernndez-de-las-Peas C."",""Yue S.-W.""}"
360147,empty,Treatment of large vessel vasculitis,Current Immunology Reviews,empty,1/11/01,1573-3955     1875-631X,7,435-442,4,"{""M. A. Alba"",""S. Prieto-Gonzalez"",""A. Garcia-Martinez"",""M. C. Cid"",""M. Butjosa"",""G. Espigol-Frigole"",""J. Hernandez-Rodriguez""}"
670289,Tumour Biol.,Quantitative assessment of the influence of common variations (rs8034191 and rs1051730) at 15q25 and lung cancer risk.,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,eng,1/14/03,1423-0380,35,2777-85,3,"{""Bin Hu"",""Hong-ju Mao"",""Jing Zhao"",""Ying Huang"",""Rong-huan Yu"",""Chao Guan""}"
821702,empty,Cognitive deficits and psychosis in Parkinson's disease: A review of pathophysiology and therapeutic options,CNS Drugs,English,1/6/01,empty,20,477-505,6,"{""T. Foltynie"",""R.A. Barker"",""S.J.G. Lewis"",""C.H. Williams-Gray""}"
188890,Scand J Infect Dis Suppl,Incidence of multi-resistance in gram-negative aerobes from intensive care units of 10 German hospitals.,Scandinavian journal of infectious diseases. Supplementum,eng,1/1/91,0300-8878,78,22-34,-1,"{""R Asanger"",""P M Shah"",""F M Kahan""}"
321660,empty,Tuberculosis and high altitude. Worth a try in extensively drug-resistant tuberculosis?,empty,English,1/14/01,empty,189,390-3,4,"{""J. F. Murray""}"
427455,Appl Nurs Res,Cultural humility: essential foundation for clinical researchers.,Applied nursing research : ANR,eng,1/13/11,1532-8201,26,251-6,4,"{""Katherine A Yeager"",""Susan Bauer-Wu""}"
246204,empty,Primary external fixation versus plaster immobilization of the intra-articular unstable distal radial fracture in the elderly,Aktuelle Traumatologie,empty,1/4/01,empty,34,64-70,2,"{""J. Oskam"",""J. H. Hegeman"",""J. Palen"",""H. J. Duis"",""P. A. M. Vierhout""}"
857402,J Chem Phys,High resolution EPR spectroscopy of C(60)F and C(70)F in solid argon: reassignment of C(70)F regioisomers,JOURNAL OF CHEMICAL PHYSICS,English,1/7/01,1089-7690,127,84301,8,"{""D. A. Tyurin"",""V. A. Belov"",""D. N. Laikov"",""A. V. Akimov"",""E. Y. Misochko""}"
704357,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,Clinical and radiological results of calcium phosphate cement-assisted balloon osteoplasty for Colles' fractures in osteoporotic senile female patients,J Orthop Sci,eng,1/10/01,0949-2658 (Print) 0949-2658,15,204-9,2,"{""A. Sudo"",""S. Ishiguro"",""K. Iida""}"
716785,empty,Explosive power and asymmetry in leg muscle function in frequent fallers and non-fallers aged over 65,empty,empty,1/2/01,empty,31,119-125 7p,2,"{""Rutherford OM"",""Kennedy J"",""Skelton DA""}"
746065,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,Anxiety and depression in patients with chronic obstructive pulmonary disease: an open agenda for research.,Rev Med Chir Soc Med Nat Iasi,empty,empty,0048-7848 (Print) 0048-7848,118,39-44,1,"{""Costin M."",""Dumbrav__ E.L."",""Postolache P."",""Cojocaru D.C.""}"
738322,The Journal of the Oklahoma State Medical Association,Classification of autogenous skull grafts in cranial reconstruction,J Okla State Med Assoc,eng,1/1/93,0030-1876 (Print) 0030-1876,86,327-32,7,"{""S. Pelofsky"",""P. D. Hunter""}"
934177,empty,An Assessment of Voluntary Adolescent Mental Health Screening and Referral in a Children's Hospital Emergency Department,empty,empty,empty,empty,0,empty,0,"{""NCT00750412 ""}"
351534,empty,Implementing participatory intervention and research in communities: lessons from the Kahnawake Schools Diabetes Prevention Project in Canada,Social Science and Medicine,English,1/3/01,empty,56,1295-1305,6,"{""T Delormier"",""A C Macaulay"",""M Cargo"",""A M McComber"",""L Potvin""}"
872389,Gut,Bile acid metabolism by fresh human colonic contents: a comparison of caecal versus faecal samples.,Gut,eng,1/1/12,0017-5749,49,835-42,6,"{""R H Dowling"",""G M Murphy"",""P B Hylemon"",""G French"",""M J Veysey"",""L A Thomas""}"
499983,empty,The role of viral infection in pulmonary exacerbations of     bronchiectasis in adults: a prospective study,Chest,English,1/15/01,empty,147,1635-1643,6,"{""Gao YH"",""Lin ZY"",""Zhang GJ"",""Zhong NS"",""Chen RC"",""Gao Y"",""Tang Y"",""Lin ZM"",""Xu G"",""Li HM"",""Guan WJ""}"
452432,empty,Feverfew (Tanacetum parthenium L.): A systematic review.,empty,empty,empty,empty,0,empty,0,{NULL}
320139,empty,Impact of second-line drug resistance on tuberculosis treatment outcomes in the United States: MDR-TB is bad enough,empty,English,1/12/01,empty,16,1331-4,10,"{""J. P. Cegielski"",""S. P. Althomsons""}"
735083,Eur. J. Appl. Physiol.,Muscle variables of importance for physiological performance in competitive football.,European journal of applied physiology,ENG,8/15/10,1439-6327,-1,empty,-1,"{""Sebastien Racinais"",""Olivier Girard"",""Lars Nybo"",""Magni Mohr"",""Martin Thomassen""}"
978471,empty,Chapter 25 - Skin Manifestations of HIV Infection,empty,empty,1/3/01,empty,0,663-695,0,"{""Gary P. Wormser"",""Alvin E. Friedman-Kien"",""Miguel Sanchez""}"
152626,empty,Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling,empty,eng,1/10/01,empty,49,544-7 ST  - Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling-,0,"{""D. D. Town"",""C. P. Chen"",""Y. N. Su"",""W. CN  - PubMed DA  - Dec DO  - 10.1016/s1028-4559(10)60117-9 DP  - NLM ET  - 2011/01/05 Wang"",""C. W. Pan"",""C. C. Lee"",""F. J. Tsai"",""P. C. Wu"",""M. C. Huang""}"
90272,Radiology,Role of core-needle biopsy in thyroid nodules with initially nondiagnostic cytologic results.,Radiology,eng,1/14/02,1527-1315,270,629-30,2,"{""Qiao-Hong Hu"",""Zhi-Liang Huang"",""Xiao-Ming Fan"",""Shuang-Xi Chen"",""Xiang-Yang Song"",""Xiao-Ying Qiu""}"
776651,empty,The endoplasmic reticulum-associated VP7 of rotavirus is targeted to axons and dendrites in polarized neurons,Journal of Neurocytology,English,1/1/93,empty,22,616-626,8,"{""K. Kristensson"",""L. Svensson"",""H. B. Greenberg"",""K. Weclewicz""}"
931361,empty,Telemedicine in the management of chronic pain: a cost analysis study,Canadian Journal of Anaesthesia,empty,1/9/01,empty,56,590-6,8,"{""R. Kern"",""A. Pronovost"",""P. Peng""}"
623358,Br J Soc Psychol,Moderation of cognition-intention and cognition-behaviour relations: a meta-analysis of properties of variables from the theory of planned behaviour.,The British journal of social psychology / the British Psychological Society,eng,1/4/06,0144-6665,43,159-86,0,"{""Paschal Sheeran"",""Richard Cooke""}"
385940,Cardiol Young,"Normalisation of left ventricular systolic function after change from VVI pacing to biventricular pacing in a child with congenital complete atrioventricular block, long-QT syndrome, and congenital muscular dystrophy: a 10-year follow-up.",Cardiology in the young,eng,1/14/06,1467-1107,24,520-3,3,"{""Jesper I Reimers"",""Sabrina G Ellese"",""Henrik  Andersen""}"
951168,empty,Estimating the Effect of Land Leases on Prices of Inner-city Apartment Buildings,Urban Studies (Routledge),empty,1/3/01,420980,40,2049,10,"{""Christian T. L. Janssen""}"
515254,Dentomaxillofac Radiol,Radiographic detection of artificially created horizontal root fracture using different cone beam CT units with small fields of view.,Dento maxillo facial radiology,eng,1/13/01,0250-832X,42,20120261,4,"{""S Murat"",""H Avsever"",""S Y_ksel"",""C S Paksoy"",""B Onder"",""K Kamburoglu""}"
674623,Actas Esp Psiquiatr,Pharmacological treatments for obsessive-compulsive disorder in children and adolescents: a qualitative review.,Actas espaolas de psiquiatr_a,eng,1/13/05,1578-2735,41,196-203,3,"{""Angel Rosa-Alczar"",""Ana I Rosa-Alczar"",""Marina Iniesta-Sep_lveda""}"
226419,Int J Colorectal Dis,Anterior approach unilateral right sacrospinous fixation for recurrent pelvic organ prolapse following multiple colorectal surgeries.,International journal of colorectal disease,ENG,7/15/01,1432-1262,-1,empty,-1,"{""Enie Akhtar Bt Nawawi"",""Ahlam M Al-Kharabsheh"",""Tsia-Shu Lo""}"
178078,empty,A community-based trachoma survey: Prevalence and risk factors in the Tigray region of northern Ethiopia,empty,empty,1/6/01,empty,13,173-181,0,"{""J. De La Camera"",""M. M. Mesfin"",""A. M. Kedir"",""G. Amanual"",""T. Araya"",""I. G. Tareke""}"
453637,empty,Corneal collagen cross-linking for nonectatic disorders: A systematic review.,empty,empty,empty,empty,0,empty,0,{NULL}
57483,Neurologist,Multiple dural arteriovenous fistulas presenting as rapidly progressive dementia.,The neurologist,eng,1/12/05,1074-7931,18,130-2,3,"{""Diana Duro"",""Augusto Goulo"",""Gon_alo Santos"",""Nuno Mendon_a"",""Isabel Santana"",""Eg_dio Machado""}"
462849,empty,Methodological Review of the Quality of Reach Out and Read: Does It &quot;Work&quot;?,empty,empty,empty,empty,0,empty,0,{NULL}
338547,Expert Opin Emerg Drugs,New therapies in soft tissue sarcoma,Expert opinion on emerging drugs,empty,1/10/01,1744-7623,15,237-48,2,"{""Bruno Vincenzi"",""Daniele Santini"",""Giuseppe Tonini"",""Anna Maria Frezza""}"
438808,empty,Descemet's stripping endothelial keratoplasty: safety and outcomes: a report by the American Academy of Ophthalmology,empty,empty,empty,empty,0,empty,0,{NULL}
352040,empty,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,American Indian and Alaska Native Mental Health Research: The Journal of the National Center,empty,1/13/01,1533-7731,20,26-Jan,2,"{""Joel W. Grube"",""Juan A. Luna"",""David A. Gilder"",""Jennifer Roberts"",""Daniel Calac"",""Cindy L. Ehlers"",""Roland S. Moore""}"
887131,Drugs Aging,Antidiabetic oral treatment in older people: does frailty matter?,Drugs & aging,eng,1/9/12,1179-1969,26,53-62,-1,"{""Angela Marie Abbatecola"",""Andrea Corsonello"",""Silvia Bustacchini"",""Fabrizia Lattanzio"",""Giuseppe Paolisso""}"
182296,empty,Body and Illness: Considering Visayan Filipino Children's Perspectives Within Local and Global Relationships of Inequality,empty,empty,1/6/01,empty,25,331-373,0,"{""Aitken Alderson Anderson Aptekar Backett-Milburn Beazley Becker Bello Berman Billig Bluebond-Langner Borchgrevink Bucholtz Christensen Constantino Cornwall Dell Clark DiCarlo Diprose Douglas Downe Geissler Goodenough Hart James James Jocano Katz Koppitz L Aguilar"",""Lisa M. Mitchell""}"
49847,empty,"[Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]",empty,chi,1/7/01,empty,5,"392-7 ST  - [Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]-",0,"{""M. D. Jiang"",""Z. J. Fan"",""T. Q. DA  - Jul DP  - NLM ET  - 2007/07/17 Li"",""Q. Xia"",""L. Wang"",""Z. Yu"",""R. M. Zhang"",""F. X. Zhang"",""X. N. Yang"",""H. R. Zhang""}"
524073,Endod Dent Traumatol,Evaluation of technical quality of endodontic treatment--reliability of intraoral radiographs.,Endodontics & dental traumatology,eng,12/1/97,0109-2502,13,259-64,6,"{""M Eckerbom"",""T Magnusson""}"
348813,Cardiology in the young,Experience in one centre using the buttoned device for occlusion of atrial septal defect: comparison with the Amplatzer septal occluder.,Cardiol Young,eng,9/1/00,1047-9511,10,527-33,5,"{""G Vaksmann"",""A Vincentelli"",""C Francart"",""M A Cajot"",""G M Brevire"",""F Godart"",""J M Coullet"",""P Devos"",""C Rey""}"
427933,empty,"Consciousness, coma, and caring for the brain-injured patient.",AACN Clinical Issues: Advanced Practice in Acute & Critical Care,eng,1/5/10,1079-0713,16,441-55,4,"{""Carmelo Graffagnino"",""DaiWai M Olson""}"
6862,empty,Long-term outcome for immune suppression and immune related lymphoproliferative disorder: Prospective data from the United Kingdom Children's Leukaemia and Cancer Group registry 1994-2004,Leukemia and Lymphoma,empty,1/12/01,NCT00227591/ClinicalTrials.gov NCT00509899/ClinicalTrials.gov NCT00599547/ClinicalTrials.gov NCT00631462/ClinicalTrials.gov NCT00934544/ClinicalTrials.gov NCT00952289/ClinicalTrials.gov NCT01420770/ClinicalTrials.gov NCT01437787/ClinicalTrials.gov,53,842-848,5,"{""A. Wotherspoon"",""M.M. Taj"",""N. Hadzic"",""M. Burke"",""R. Hobson"",""S.E. Height"",""M. Viskaduraki"",""C.R. Pinkerton""}"
853676,Hematol. J.,"Pulsed cyclophosphamide, thalidomide and dexamethasone: an oral regimen for previously treated patients with multiple myeloma.",The hematology journal : the official journal of the European Haematology Association / EHA,eng,1/4/01,1466-4860,5,112-7,2,"{""Meletios A Dimopoulos"",""Nikolaos Anagnostopoulos"",""Markela P Zorzou"",""Athanasios Anagnostopoulos"",""Eleni Efstathiou"",""Christos Poziopoulos"",""George Hamilos"",""Vassiliki Grigoraki"",""Dimitra Gika"",""Athanasios Zomas"",""Irini Xilouri""}"
556116,empty,A controlled trial of anterior spinal fusion and dbridement in the surgical management of tuberculosis of the spine in patients on standard chemotherapy: a study in two centres in South Africa. Seventh Report of the Medical Research Council Working Party on tuberculosis of the spine,empty,empty,1/1/78,empty,59,79-105,2,{NULL}
734870,Int J Geriatr Psychiatry,Stress across the life course and depression in a rapidly developing population: the Guangzhou Biobank Cohort Study.,International journal of geriatric psychiatry,ENG,9/15/10,1099-1166,1,empty,-1,"{""Stephen E Gilman"",""Chaoqiang Jiang"",""Kar Keung Cheng"",""C Mary Schooling"",""Tai Hing Lam"",""Michael Y Ni"",""Gabriel M Leung"",""Weisen Zhang""}"
540850,Acta neurochirurgica. Supplementum,Glucocorticosteroid treatment of vasogenic oedema,Acta Neurochir Suppl (Wien),eng,1/1/88,0065-1419 (Print)     0065-1419,43,145-8,0,"{""W. Bodsch"",""T. Rommel""}"
465756,empty,Non-surgical treatments for anal fissure in adults.,empty,empty,empty,empty,0,empty,0,{NULL}
762269,empty,Spontaneous pneumomediastinum in a healthy adolescent.,Acta Clin. Croat.,eng,1/9/09,0353-9466,48,461-7,4,"{""Renata Vrsalovi_"",""Eva Verona"",""Iva Mihatov-Stefanovi_"",""Biserka Cicak""}"
441902,empty,Pharmacotherapy for inherited colorectal cancer. [Review] [42 refs],empty,empty,empty,empty,0,empty,0,{NULL}
950233,empty,The vascular depression hypothesis: The influence of age on the relationship between cerebrovascular risk factors and depressive symptoms in community dwelling elders,Aging & Mental Health,empty,1/5/01,1360-7863,9,146-152,2,"{""S. A. Murrell"",""B. T. Mast"",""A. R. Azar""}"
621415,empty,The link between smoking and impotence: two decades of evidence.,Supplement: Active Living Research - Niche to Norm,eng,1/1/06,0091-7435,32,447-52,6,"{""N D Osgood"",""T O Tengs""}"
633877,Colorectal Dis,Stapled haemorrhoidopexy for the treatment of haemorrhoids: a systematic review.,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,eng,1/9/03,1463-1318,11,233-43; discussion 243,3,"{""H Weatherly"",""D Epstein"",""J Burch"",""N Woolacott"",""D Jayne"",""D Fox"",""A Baba-Akbari Sari""}"
756208,Allergy Asthma Proc,Rapid diagnosis of Mycobacterium tuberculosis infection in children using interferon-gamma release assays (IGRAs).,Allergy and asthma proceedings : the official journal of regional and state allergy societies,eng,1/12/05,1539-6304,33,217-26,3,"{""Barbara Zeligs"",""Stephen M Peters"",""Onorina Di Mita"",""Shahla Riazi"",""Henry Yeager"",""German A Benavides"",""Joseph A Bellanti""}"
97853,empty,L2 spinal nerve-block effects on acute low back pain from osteoporotic vertebral fracture,empty,eng,1/9/01,empty,10,870-5,8,"{""S. Orita"",""M. Takaso"",""S. Ohtori"",""S. Kishida"",""G. Inoue"",""M. Suzuki"",""K. Yamauchi"",""N. Ochiai"",""M. Yamashita"",""Y. Eguchi"",""K. Takahashi""}"
720775,empty,Depression treatment preferences among Japanese undergraduates: using conjoint analysis,International Journal of Social Psychiatry,English,1/12/01,0020-7640,58,195-203,2,"{""S. Sakamoto"",""Y. Okumura""}"
294439,empty,"Alcohol-related road traffic injuries in Eldoret, Kenya",East African Medical Journal,empty,1/1/98,0012-835X,75,708-711,12,"{""W Odero""}"
375430,empty,A study of the clinicians approach to patients' driving status in the memory clinic setting,empty,English,1/15/01,empty,30,1444,0,"{""M. Thomas"",""E. Fairholme"",""N. Nichols"",""M. George""}"
689666,empty,Frequency of CDH1 germline mutations in gastric carcinoma coming from high- and low-risk areas: metanalysis and systematic review of the literature.,Bmc Cancer,eng,1/12/01,1471-2407,12,8,-1,"{""Franco Roviello"",""Daniele Marrelli"",""Carla Vindigni"",""Valeria Pascale"",""Giovanni Corso""}"
896848,J Anesth,Recovery of postoperative cognitive function in elderly patients after a long duration of desflurane anesthesia: a pilot study.,Journal Of Anesthesia,eng,1/15/08,1438-8359,29,627-30,4,"{""Michiko Osuda"",""Satoshi Kazuma"",""Michiaki Yamakage"",""Shunsuke Tachibana"",""Tomo Hayase""}"
231182,empty,The change in eating disorder symptoms scale: Scale development and psychometric properties,Eating Behaviors,empty,1/10/01,empty,11,131-137,3,"{""D. L. Spangler""}"
232896,Parkinsonism Relat. Disord.,Detecting and monitoring the symptoms of Parkinson's disease using smartphones: A pilot study.,Parkinsonism & related disorders,ENG,7/15/03,1873-5126,1,empty,-1,"{""S Arora"",""A Zhan"",""S Donohue"",""E R Dorsey"",""K M Biglan"",""V Venkataraman"",""M A Little""}"
798716,empty,Osteoid osteoma in a 16-year-old boy presenting with atrophy of the left thigh: diagnostic difficulties.,Turk. J. Pediatr.,eng,1/8/07,0041-4301,50,373-6,4,"{""Akin Uz_mc_gil"",""Meral Top_u"",""M Fani Bozkurt"",""Sinem Akg_l""}"
