117316.city,MANVILEL,MANVILLE
141889.singleexemp,2100***,2100
115515.state,H,NH
109011.gender,***,F
8295.gender,,F
25139.city,MC fKINNON,MC KINNON
130945.marriedexemp,***,0
23885.marriedexemp,n0,0
165450.childexemp,,0
60027.singleexemp,,0
110766.state,CD,DC
52763.singleexemp,,0
39657.city,DRYRBANCH,DRYBRANCH
39192.singleexemp,,0
19641.singleexemp,,0
121466.singleexemp,100,1000
17441.childexemp,1000***,1000
139936.gender,,M
92089.childexemp,d0,0
43398.marriedexemp,k0,0
9185.gender,,F
127111.gender,***,F
134107.city,ARPAAHOE,ARAPAHOE
43322.childexemp,r0,0
12448.gender,,F
146731.marriedexemp,,0
125276.state,KA,AK
176890.state,JN,NJ
115828.state,K,AK
133796.childexemp,100,1500
9229.gender,aF,F
25321.singleexemp,r0,0
76715.state,vAK,AK
165600.singleexemp,***,0
55074.state,DnC,DC
186843.city,ALTOOAN,ALTOONA
142020.marriedexemp,***,0
66498.childexemp,***,0
11861.singleexemp,,0
165431.marriedexemp,,0
10445.state,gWV,WV
106071.state,iDC,DC
126071.state,EN,NE
15525.childexemp,e0,0
148130.singleexemp,***,0
72371.state,DN,ND
158029.marriedexemp,***,0
167207.childexemp,***,0
25012.state,DeC,DC
69473.singleexemp,k0,0
75445.singleexemp,w0,0
133543.marriedexemp,a0,0
81775.singleexemp,***,0
163350.singleexemp,310v0,3100
98318.singleexemp,,0
154045.state,KA,AK
101409.singleexemp,3300***,3300
63684.state,KO,OK
169117.state,K,AK
110484.gender,sM,M
47995.city,SAXTONS RIVEcR,SAXTONS RIVER
110145.singleexemp,,0
16671.childexemp,090,900
5406.childexemp,***,0
156224.childexemp,w0,0
70651.state,CD,DC
179751.city,HASTINkGS,HASTINGS
90260.state,IxA,IA
67825.singleexemp,,0
61889.city,AVIK,ANVIK
122800.singleexemp,k0,0
127964.childexemp,***,0
123017.gender,,F
57209.singleexemp,j0,0
180934.marriedexemp,m0,0
73943.city,ALBUQUEvRQUE,ALBUQUERQUE
185840.singleexemp,***,0
112481.state,AzK,AK
175881.gender,qM,M
114633.state,FiL,FL
33602.state,C,DC
108103.city,ARANSAlS PASS,ARANSAS PASS
71902.city,ARENkAS VALLEY,ARENAS VALLEY
89761.city,ADLA,ALDA
106417.gender,***,F
109233.state,KA,AK
105526.childexemp,722,272
71566.singleexemp,,0
61982.singleexemp,195,159
122337.state,CD,DC
9505.gender,,F
19427.state,DN,ND
68915.childexemp,,0
183127.childexemp,,0
97293.state,CD,DC
187301.marriedexemp,f0,0
105355.singleexemp,e0,0
103418.singleexemp,***,0
7971.gender,,F
187213.marriedexemp,***,0
128948.gender,***,F
111895.city,GREENWOjOD,GREENWOOD
94988.state,S,KS
198311.gender,,M
115214.childexemp,10,110
191771.marriedexemp,,0
34023.marriedexemp,***,0
104736.city,ALBRTVILLE,ALBERTVILLE
85300.marriedexemp,d0,0
23037.state,C,DC
102075.state,C,DC
167758.childexemp,,0
10457.gender,gF,F
12713.gender,,F
27816.marriedexemp,g0,0
6540.state,DaC,DC
43994.state,CS,SC
15093.singleexemp,,0
190461.singleexemp,***,0
172169.city,ALBUQERQUE,ALBUQUERQUE
63118.state,wDC,DC
172942.marriedexemp,o0,0
14517.state,oDC,DC
72753.marriedexemp,22a0,220
142094.childexemp,,0
48140.marriedexemp,v3000,3000
22677.city,MBOY,AMBOY
123365.city,AMdHERST,AMHERST
14070.gender,oF,F
108416.singleexemp,,0
50309.childexemp,300,3300
5003.state,pAK,AK
87095.childexemp,c0,0
107451.state,C,DC
136870.singleexemp,130,103
22115.state,KA,AK
64255.marriedexemp,8x0,80
183152.singleexemp,,0
58928.city,WIMINGTON,WILMINGTON
70520.state,TC,CT
141285.singleexemp,d0,0
26526.state,pDC,DC
63594.state,NbJ,NJ
9167.gender,uF,F
116810.childexemp,i0,0
5207.gender,***,M
98436.singleexemp,***,0
80361.gender,,M
189108.marriedexemp,,0
184701.gender,***,M
192070.marriedexemp,,0
39010.state,C,DC
26995.marriedexemp,,0
98646.city,LAZADA,ALZADA
187423.city,IVINGSTON,LIVINGSTON
101845.marriedexemp,n0,0
103856.state,C,DC
115743.marriedexemp,17z4,174
24794.marriedexemp,v2000,2000
9793.singleexemp,***,0
43909.state,sAK,AK
122708.singleexemp,***,0
14185.gender,***,F
10856.gender,,F
133490.singleexemp,,0
13355.gender,***,F
46336.gender,sM,M
144770.childexemp,***,0
10437.gender,kF,F
133958.city,BARNlUM,BARNUM
32229.marriedexemp,j0,0
116657.singleexemp,1400,1040
142234.singleexemp,850,2850
123579.state,L,FL
63174.marriedexemp,6600***,6600
37895.state,CD,DC
39307.marriedexemp,,0
118010.state,KA,AK
13565.gender,***,F
79020.city,ANDOVRE,ANDOVER
47648.gender,,M
30948.marriedexemp,4020,4200
141329.gender,yM,M
198358.marriedexemp,,0
54079.singleexemp,,0
78600.marriedexemp,f0,0
175700.singleexemp,1q300,1300
146828.marriedexemp,***,0
197152.city,ANNISTOtN,ANNISTON
125823.marriedexemp,***,0
22199.gender,,F
68806.city,NCHORAGE,ANCHORAGE
97075.marriedexemp,,0
56764.state,YW,WY
132046.state,C,DC
12129.gender,yF,F
88048.marriedexemp,x0,0
29492.state,DN,ND
10101.gender,bF,F
138130.childexemp,***,0
90273.singleexemp,m0,0
43747.singleexemp,,0
120004.childexemp,,0
28804.childexemp,y0,0
153020.singleexemp,n0,0
172499.marriedexemp,y0,0
197313.singleexemp,v0,0
53603.state,KO,OK
40982.city,TUPPERS PLAISN,TUPPERS PLAINS
67615.state,AaK,AK
121117.gender,,M
145645.marriedexemp,20e00,2000
77323.singleexemp,210,2100
128868.childexemp,000,1000
81395.state,J,NJ
137948.childexemp,,0
156250.gender,lM,M
79228.city,ALMELUD,ALMELUND
63967.state,KA,AK
107073.state,DrC,DC
110839.singleexemp,00,700
132431.marriedexemp,i220,220
163491.childexemp,9100,1900
15460.city,PRING GAP,SPRING GAP
108586.singleexemp,c0,0
145309.state,D,SD
163435.city,ALBUQUERUE,ALBUQUERQUE
87632.singleexemp,210,2100
131600.singleexemp,300,3300
122894.state,DrC,DC
116733.city,ALINE,ALPINE
161114.marriedexemp,,0
158354.singleexemp,***,0
191962.singleexemp,3100,1300
9489.gender,gF,F
181198.city,mARGONIA,ARGONIA
10087.gender,cF,F
90102.state,AwK,AK
145267.state,PsR,PR
132471.state,uNV,NV
115286.gender,fM,M
7338.gender,jF,F
128889.city,AIAK,ANIAK
19311.singleexemp,***,0
39964.state,KA,AK
126279.state,T,VT
41583.state,CD,DC
115767.city,AMHEST,AMHERST
5921.singleexemp,,0
40817.state,eDC,DC
119345.city,PASSADUMKEAtG,PASSADUMKEAG
178136.singleexemp,,0
152378.state,AwL,AL
73585.marriedexemp,***,0
12525.gender,***,F
69996.state,K,AK
56679.marriedexemp,,0
164632.gender,***,F
173046.marriedexemp,***,0
51263.state,CD,DC
88909.gender,***,F
118027.city,nROSCOE,ROSCOE
91989.singleexemp,***,0
119064.childexemp,***,0
78557.marriedexemp,***,0
57133.childexemp,***,0
7891.gender,,F
48273.marriedexemp,***,0
192565.city,MAARILLO,AMARILLO
16765.childexemp,,0
190156.singleexemp,***,0
192340.marriedexemp,***,0
38568.state,DtC,DC
43647.city,SAwNDERS,SANDERS
161541.childexemp,a0,0
148460.marriedexemp,***,0
2699.state,CD,DC
126553.singleexemp,k0,0
23256.state,IfD,ID
130286.state,ED,DE
28329.childexemp,***,0
151556.marriedexemp,,0
101637.marriedexemp,h0,0
63732.singleexemp,,0
136153.city,LIZABETH,ELIZABETH
3747.city,SPAI,SUPAI
188993.city,ALMEA,ALMENA
11401.city,ROVIDENCE,PROVIDENCE
107234.city,NTIOCH,ANTIOCH
197034.state,AmK,AK
41673.marriedexemp,2w06,206
124470.gender,uF,F
17523.childexemp,o0,0
185302.gender,***,M
123476.gender,xF,F
9186.city,HgESSTON,HESSTON
49473.city,BLANI,BLAIN
121305.city,UHL,BUHL
15408.state,DdC,DC
110546.city,uFREELAND,FREELAND
111450.city,ALOTN,ALTON
72440.gender,vM,M
140275.singleexemp,,0
34088.state,DyC,DC
83523.state,uAL,AL
72550.singleexemp,j0,0
69061.state,Y,KY
126775.childexemp,,0
37451.marriedexemp,z0,0
189744.city,WOmRCESTER,WORCESTER
140912.state,N,TN
97253.state,KA,AK
84479.city,ANGL FIRE,ANGEL FIRE
9740.gender,***,F
129553.childexemp,***,0
11745.gender,***,F
145125.singleexemp,,0
13472.gender,kF,F
156210.childexemp,z0,0
69032.singleexemp,,0
48972.gender,vM,M
10494.gender,mF,F
102566.marriedexemp,***,0
183732.city,USKEGEE INSTITUTE,TUSKEGEE INSTITUTE
144342.gender,***,F
68307.marriedexemp,***,0
94478.singleexemp,n0,0
7704.gender,oF,F
90310.state,IgL,IL
149073.singleexemp,,0
121846.childexemp,***,0
11140.gender,jF,F
99509.city,ATA,ALTA
10050.marriedexemp,,0
128185.singleexemp,***,0
19771.gender,***,M
56593.childexemp,***,0
172132.state,K,AK
6243.state,tDC,DC
36605.singleexemp,***,0
29982.singleexemp,***,0
195384.childexemp,***,0
48919.marriedexemp,h0,0
52122.singleexemp,k0,0
125977.childexemp,33s00,3300
83481.city,HARVAhRD,HARVARD
16251.state,K,AK
147790.marriedexemp,,0
82235.singleexemp,***,0
162498.state,H,OH
7376.state,CD,DC
100657.marriedexemp,,0
103328.marriedexemp,o0,0
30755.state,DnC,DC
169862.state,AuK,AK
121281.state,C,DC
118063.childexemp,***,0
42595.singleexemp,***,0
125483.state,K,AK
180136.singleexemp,***,0
172525.city,ALOCVA,ALCOVA
37453.singleexemp,y0,0
146009.singleexemp,,0
45412.marriedexemp,,0
188997.singleexemp,,0
153205.gender,fF,F
88268.childexemp,***,0
153707.marriedexemp,200,2000
139833.childexemp,,0
115299.state,fDC,DC
35223.gender,qF,F
186249.state,AoK,AK
128853.state,LA,AL
108598.gender,***,F
191974.singleexemp,a0,0
79503.childexemp,z1000,1000
146455.state,eAK,AK
181210.marriedexemp,,0
31666.marriedexemp,w0,0
46361.state,AjK,AK
154747.marriedexemp,,0
12353.marriedexemp,600,6600
126334.state,eDC,DC
7416.gender,,F
164159.gender,iF,F
109330.state,K,AK
132586.city,CHICvOPEE,CHICOPEE
35670.singleexemp,900***,900
21238.childexemp,0,40
107978.childexemp,k0,0
116029.gender,xM,M
16905.state,iCO,CO
123427.childexemp,,0
44644.gender,vM,M
33546.gender,,M
49402.city,HONOLLUU,HONOLULU
48537.marriedexemp,,0
123534.state,H,OH
62855.marriedexemp,x0,0
74957.singleexemp,,0
53435.gender,vF,F
64096.marriedexemp,,0
104230.marriedexemp,,0
12230.marriedexemp,,0
98660.state,iDC,DC
168194.city,ANCONDA,ANACONDA
71521.singleexemp,y0,0
11415.gender,***,F
134570.marriedexemp,***,0
43922.childexemp,,0
142229.city,ASLTEAD,ALSTEAD
16528.childexemp,***,0
74526.state,DgC,DC
52133.childexemp,,0
57225.marriedexemp,,0
29251.marriedexemp,***,0
72920.state,C,DC
176046.marriedexemp,***,0
129239.marriedexemp,n0,0
88264.city,ALGOAM,ALGOMA
13010.gender,,F
150920.state,KA,AK
185984.marriedexemp,,0
149275.childexemp,,0
11832.gender,wF,F
198242.gender,***,M
161369.state,DI,ID
68134.state,CD,DC
95419.city,ADERSON,ANDERSON
108373.singleexemp,***,0
86948.city,PYLMOUTH,PLYMOUTH
154043.singleexemp,,0
8780.gender,fF,F
109987.childexemp,d0,0
72085.singleexemp,,0
57189.marriedexemp,,0
177371.childexemp,,0
170363.state,L,AL
185116.singleexemp,u0,0
171524.singleexemp,***,0
115890.state,fDC,DC
161820.marriedexemp,,0
16405.state,gOR,OR
36634.singleexemp,p0,0
147933.marriedexemp,,0
21546.city,ROAgNOKE,ROANOKE
123102.state,DsC,DC
117050.marriedexemp,08,80
185413.singleexemp,a0,0
199815.city,LLENTOWN,ALLENTOWN
115696.city,ARECkIBO,ARECIBO
71420.state,OC,CO
120098.city,PORCUIPNE,PORCUPINE
146103.state,bDC,DC
107073.childexemp,***,0
128080.singleexemp,***,0
138290.state,C,DC
83654.childexemp,***,0
34925.city,ALBUQUERQE,ALBUQUERQUE
96307.gender,***,F
35012.singleexemp,m0,0
63123.state,K,AK
64437.childexemp,***,0
10368.gender,***,F
134234.state,K,AK
112097.state,T,CT
31780.state,DnC,DC
128585.city,BLUbE GAP,BLUE GAP
109595.singleexemp,***,0
183946.childexemp,m0,0
178395.singleexemp,,0
178147.singleexemp,***,0
64310.state,KA,AK
127376.singleexemp,,0
8854.gender,tM,M
39464.city,wMOUNTVILLE,MOUNTVILLE
153878.state,KA,AK
16018.city,EASEY,EASLEY
45371.childexemp,***,0
49666.state,C,DC
16085.state,K,AK
9772.gender,xF,F
67540.marriedexemp,9000***,9000
47853.state,L,AL
63378.state,DlC,DC
9356.gender,***,F
141220.gender,oF,F
190660.singleexemp,300,3300
11014.gender,gF,F
138533.city,AHRRISBURG,HARRISBURG
125215.state,C,DC
147642.singleexemp,***,0
186453.city,NNISTON,ANNISTON
13906.marriedexemp,,0
47253.childexemp,z0,0
128432.state,KA,AK
9026.gender,***,F
90099.city,lNEW ORLEANS,NEW ORLEANS
73920.marriedexemp,***,0
163042.city,LLSTON,ALLSTON
138235.singleexemp,,0
175021.childexemp,***,0
130557.city,JSOEPH,JOSEPH
66911.state,sAK,AK
8303.state,D,ID
9768.marriedexemp,***,0
23206.state,D,ID
116983.marriedexemp,r0,0
13989.singleexemp,***,0
95326.childexemp,4c0,40
153990.gender,***,F
45525.marriedexemp,,0
89911.state,Z,AZ
77268.marriedexemp,***,0
168358.singleexemp,90,900
93934.gender,***,F
58990.state,CwA,CA
38394.childexemp,***,0
6767.gender,rF,F
164203.city,FLANDERAU,FLANDREAU
78236.city,ARECIbBO,ARECIBO
12501.city,ANCHRAGE,ANCHORAGE
193983.state,LI,IL
114958.city,ALCVE,ALCOVE
137436.marriedexemp,,0
143236.city,MILFOtRD,MILFORD
59479.gender,,M
11120.gender,,F
185072.city,JEWETT CIY,JEWETT CITY
61254.state,KA,AK
191459.childexemp,w0,0
38764.singleexemp,,0
76577.city,ABRYRD,ARBYRD
131957.singleexemp,,0
104948.state,KA,AK
95935.city,LEaFLORE,LEFLORE
179861.city,sAURORA,AURORA
67087.city,STOKCLAND,STOCKLAND
135876.city,ANLEER,VANLEER
82111.gender,***,F
128073.childexemp,,0
36303.childexemp,,0
177795.childexemp,c0,0
7418.childexemp,3010,3100
37735.marriedexemp,f0,0
142105.city,SCOxTTSDALE,SCOTTSDALE
13140.state,C,DC
68071.state,iDC,DC
193644.childexemp,,0
177969.state,A,MA
107920.marriedexemp,9450,4950
129127.city,OwLDTOWN,OLDTOWN
40152.city,ILWACgO,ILWACO
106428.city,HARFTORD,HARTFORD
199415.childexemp,,0
72449.childexemp,,0
105991.marriedexemp,***,0
115723.childexemp,,0
11241.gender,,F
11230.gender,,F
112147.singleexemp,***,0
35936.state,C,DC
145823.city,AwNGIE,ANGIE
163261.city,ALION,ALBION
184918.state,C,SC
119553.state,C,DC
104937.state,KA,AK
160365.marriedexemp,b0,0
13004.gender,vF,F
41575.singleexemp,***,0
150867.marriedexemp,,0
61351.gender,kM,M
7792.gender,qF,F
147029.gender,oM,M
140234.city,SHaUTESBURY,SHUTESBURY
130553.state,K,AK
61980.marriedexemp,***,0
124793.marriedexemp,400,4500
9339.gender,,F
168367.city,ALBUUQERQUE,ALBUQUERQUE
68039.state,AjL,AL
68604.marriedexemp,04,40
50402.state,rDC,DC
42699.state,mDC,DC
198375.gender,,F
122174.singleexemp,02,20
111805.marriedexemp,z0,0
9324.gender,hF,F
16052.state,K,AK
101233.state,kAK,AK
132122.city,ALrBUQUERQUE,ALBUQUERQUE
13627.singleexemp,l0,0
68172.marriedexemp,***,0
46708.gender,,M
110794.state,J,NJ
88959.marriedexemp,***,0
156679.childexemp,,0
102377.state,rAK,AK
20698.childexemp,***,0
74822.childexemp,***,0
78641.city,ALEXANDIRA,ALEXANDRIA
108746.gender,***,F
198097.city,ALPHjA,ALPHA
138139.state,ZA,AZ
71112.state,DuC,DC
118393.childexemp,,0
9900.gender,yM,M
76559.gender,iM,M
181320.childexemp,***,0
44963.gender,,F
190548.childexemp,***,0
109776.state,AgK,AK
85492.childexemp,22v50,2250
147781.city,POINT OFj ROCKS,POINT OF ROCKS
40913.marriedexemp,***,0
56399.state,I,HI
94554.singleexemp,2750,12750
109037.state,dDC,DC
89617.singleexemp,***,0
127875.gender,,M
138400.state,K,AK
111206.childexemp,,0
105363.singleexemp,***,0
127644.state,eDC,DC
43841.city,ANEAT,ANETA
8684.city,BhRISTOL,BRISTOL
127979.marriedexemp,4800***,4800
79494.gender,,M
187766.marriedexemp,v0,0
39873.marriedexemp,,0
102701.city,LAEXANDRIA,ALEXANDRIA
12831.state,CD,DC
36476.singleexemp,***,0
19768.state,SK,KS
179338.singleexemp,u0,0
10891.gender,pF,F
20058.city,INNECONNE,WINNECONNE
131131.state,C,DC
10665.city,COBETT,CORBETT
161457.city,RAPAHOE,ARAPAHOE
190961.singleexemp,r0,0
137133.singleexemp,330,3300
191213.marriedexemp,,0
186680.singleexemp,,0
9024.gender,***,F
167044.city,eYAKIMA,YAKIMA
189183.state,AP,PA
33749.childexemp,q0,0
96212.city,WARRNE,WARREN
81695.city,RApLEIGH,RALEIGH
153783.city,AuLBION,ALBION
185438.gender,***,F
114223.city,FREDEICK,FREDERICK
98129.singleexemp,r0,0
137491.childexemp,,0
188269.singleexemp,,0
188551.childexemp,***,0
78733.state,C,DC
62882.childexemp,***,0
112063.city,FLEMkING,FLEMING
165971.marriedexemp,740,2740
129565.state,AjK,AK
144843.singleexemp,x0,0
72826.singleexemp,2010,2100
6763.gender,qF,F
182983.marriedexemp,5040,5400
115942.state,DfC,DC
67868.marriedexemp,m0,0
42514.state,CD,DC
156836.city,ALTAMONTE SRINGS,ALTAMONTE SPRINGS
6686.gender,***,F
111800.city,ALBQUUERQUE,ALBUQUERQUE
148653.state,LA,AL
93262.marriedexemp,***,0
119614.city,KNOXVIfLLE,KNOXVILLE
117508.gender,***,M
50402.childexemp,,0
12474.gender,oF,F
82959.city,ALBxUQUERQUE,ALBUQUERQUE
2628.state,E,DE
25702.marriedexemp,t0,0
122444.state,RO,OR
161777.gender,***,F
143284.state,DgC,DC
43122.marriedexemp,m0,0
148863.childexemp,q0,0
9962.marriedexemp,,0
191814.state,AbK,AK
35826.state,C,DC
144738.city,ANCORAGE,ANCHORAGE
186890.city,WALLA oWALLA,WALLA WALLA
41727.childexemp,,0
191065.marriedexemp,,0
11726.gender,mF,F
195965.state,LA,AL
173640.singleexemp,,0
15521.city,RIDELAND,RIDGELAND
112755.singleexemp,***,0
91503.city,AROC,ARCO
115085.childexemp,722,272
10431.marriedexemp,,0
177520.state,IW,WI
11906.gender,***,F
168129.state,M,NM
83356.city,ANNAcWAN,ANNAWAN
10751.gender,***,F
178017.singleexemp,***,0
84223.childexemp,33w00,3300
7348.gender,***,F
151582.city,BASRTOW,BARSTOW
167087.singleexemp,,0
127655.city,NEW aYORK,NEW YORK
22301.gender,***,F
9770.gender,,F
188538.gender,,F
65610.childexemp,,0
125176.gender,,M
128363.gender,***,F
123314.state,C,DC
198063.childexemp,f0,0
50807.childexemp,x0,0
102894.childexemp,,0
172517.childexemp,p0,0
136307.city,HAMPTNO,HAMPTON
6310.singleexemp,u0,0
148254.state,NT,TN
106377.childexemp,f0,0
155884.city,ROTON,GROTON
187934.gender,,M
70040.childexemp,e0,0
56086.state,C,DC
17894.state,NM,MN
115446.singleexemp,***,0
14090.gender,dF,F
74923.state,C,DC
35390.singleexemp,***,0
109471.marriedexemp,660,6600
182932.city,ALGOAM,ALGOMA
25982.marriedexemp,t0,0
121294.city,ALMErNA,ALMENA
168500.state,K,AK
73987.state,KA,AK
105559.gender,***,M
123717.singleexemp,***,0
36137.city,ALEXApNDRIA,ALEXANDRIA
168995.city,ANSOINA,ANSONIA
86454.state,Y,WY
188273.childexemp,,0
74273.state,CD,DC
93967.marriedexemp,r0,0
62888.singleexemp,***,0
110905.marriedexemp,660x0,6600
79047.gender,,M
7339.gender,,F
78522.city,ANDOVRE,ANDOVER
19355.gender,,F
13189.gender,xF,F
123204.state,K,AK
183729.marriedexemp,,0
120127.marriedexemp,,0
140359.marriedexemp,***,0
131323.gender,***,F
187917.marriedexemp,6200***,6200
48727.marriedexemp,w0,0
136728.gender,***,M
15361.childexemp,11m0,110
118606.state,AoK,AK
159982.marriedexemp,2000***,2000
16615.singleexemp,200,2000
147894.city,ALBUQUERQUlE,ALBUQUERQUE
141007.marriedexemp,,0
138313.city,AsRECIBO,ARECIBO
49190.state,NsV,NV
192206.state,L,IL
90811.city,CENTER fPOINT,CENTER POINT
116716.city,BRoOOKWOOD,BROOKWOOD
137842.city,LAUeGHLIN,LAUGHLIN
115524.state,JN,NJ
168963.city,ANETcH,ANETH
121867.marriedexemp,***,0
158490.marriedexemp,,0
12397.marriedexemp,200,4200
88361.childexemp,,0
6813.gender,,F
127756.state,DqC,DC
97671.state,CD,DC
6993.gender,,F
127712.childexemp,i0,0
153542.state,DN,ND
897.state,sCA,CA
18224.state,DbC,DC
58623.singleexemp,,0
82890.childexemp,***,0
79771.childexemp,,0
11724.gender,,F
7492.gender,***,F
28121.marriedexemp,l0,0
54999.singleexemp,***,0
51459.singleexemp,***,0
6948.gender,,F
46917.marriedexemp,,0
38376.singleexemp,,0
128983.gender,***,F
6463.gender,***,F
178702.city,MAYBROOK***,MAYBROOK
127324.state,KA,AK
189714.singleexemp,***,0
195521.childexemp,***,0
105274.state,LA,AL
163291.state,JN,NJ
176915.childexemp,,0
150870.childexemp,,0
193315.childexemp,***,0
153698.singleexemp,p0,0
102712.state,K,AK
164596.city,ALBUQUERQE,ALBUQUERQUE
43555.state,C,DC
176069.city,SNEATH,SENATH
165866.childexemp,,0
169164.state,vAK,AK
190049.city,ARDMOsRE,ARDMORE
46057.singleexemp,***,0
27651.marriedexemp,***,0
145379.childexemp,v0,0
61764.singleexemp,,0
11028.gender,***,F
151160.singleexemp,300,3300
813.singleexemp,j0,0
143028.singleexemp,x0,0
7838.gender,***,F
176846.singleexemp,,0
50209.state,RP,PR
88287.singleexemp,,0
6581.gender,***,F
1493.state,C,DC
47485.city,STEEVNS POINT,STEVENS POINT
4629.gender,oM,M
45619.singleexemp,***,0
55921.city,cLINCOLN,LINCOLN
150463.marriedexemp,o0,0
130236.singleexemp,d110,110
78156.state,CD,DC
5565.state,PuR,PR
13738.gender,,F
51347.city,ALTON cBAY,ALTON BAY
128673.singleexemp,78,87
178180.marriedexemp,,0
12178.state,LA,AL
35832.singleexemp,m0,0
48692.city,AMION,AMIDON
163911.marriedexemp,,0
13650.state,C,DC
123371.childexemp,0,40
163415.gender,,M
138532.marriedexemp,2000***,2000
135369.marriedexemp,,0
14115.gender,jF,F
151127.city,APACHzE,APACHE
40912.city,ANDESRON,ANDERSON
10117.gender,***,F
156402.state,CN,NC
109635.marriedexemp,c0,0
9249.gender,***,F
110448.state,CD,DC
103084.state,K,AK
82547.city,ANEDRSON,ANDERSON
167943.city,LVERDA,ALVERDA
115114.state,DcC,DC
124495.childexemp,***,0
35070.singleexemp,,0
60649.marriedexemp,***,0
143991.city,AREIBO,ARECIBO
60870.city,ALBUUERQUE,ALBUQUERQUE
195821.state,AtK,AK
26056.state,wDC,DC
121616.marriedexemp,***,0
181024.childexemp,***,0
152558.gender,***,M
82605.marriedexemp,***,0
174728.childexemp,,0
16381.state,AhK,AK
46221.gender,sF,F
17463.state,K,AK
13952.gender,zF,F
8777.gender,***,F
148250.childexemp,***,0
188580.marriedexemp,49v50,4950
85150.gender,dM,M
156274.state,K,AK
89768.childexemp,***,0
129102.city,ALBIN,ALBION
167928.state,NyJ,NJ
12294.gender,,F
77658.state,CD,DC
162983.marriedexemp,f0,0
31196.state,K,AK
196170.childexemp,***,0
45136.state,K,AK
71589.singleexemp,0,20
88536.childexemp,100,1000
84081.singleexemp,200,2000
127275.marriedexemp,j0,0
63237.marriedexemp,,0
1104.state,TU,UT
10895.gender,***,F
63387.city,ANTIGqO,ANTIGO
5098.state,uDC,DC
89366.singleexemp,p0,0
192628.state,NwM,NM
92098.state,CD,DC
159480.marriedexemp,,0
155171.singleexemp,,0
21506.gender,mM,M
187036.marriedexemp,,0
108308.state,CD,DC
130709.childexemp,g0,0
38723.marriedexemp,,0
110360.city,ArNNAPOLIS,ANNAPOLIS
111551.state,tDC,DC
154132.state,AjK,AK
1111.state,CD,DC
137067.gender,jF,F
136612.gender,,F
57946.state,K,AK
33887.state,DjC,DC
142432.marriedexemp,200,4200
15063.childexemp,***,0
2686.gender,,M
22197.city,UNINO,UNION
65787.childexemp,,0
139731.childexemp,***,0
142839.singleexemp,***,0
57525.marriedexemp,,0
118481.city,RAECIBO,ARECIBO
159449.childexemp,1000***,1000
145523.city,vANDOVER,ANDOVER
39932.state,PcR,PR
78112.state,DoC,DC
56019.state,gAK,AK
155183.gender,qM,M
161659.state,zTX,TX
115529.singleexemp,j0,0
42502.city,APACHEc JUNCTION,APACHE JUNCTION
126008.state,iDC,DC
75644.marriedexemp,s0,0
71669.city,CHEqYENNE,CHEYENNE
109157.state,KA,AK
82753.state,KA,AK
79988.state,cDC,DC
174961.singleexemp,***,0
150993.marriedexemp,***,0
8628.gender,zF,F
7815.state,IaD,ID
82941.city,LOUIVILLE,LOUISVILLE
102470.state,aMO,MO
91238.gender,sM,M
178781.city,LDA,ALDA
55433.state,A,WA
110635.state,HO,OH
151708.state,S,KS
66236.childexemp,***,0
141129.marriedexemp,***,0
199142.marriedexemp,t0,0
102083.gender,qM,M
6809.state,M,NM
77493.city,dBIM,BIM
126234.marriedexemp,y0,0
168975.gender,***,F
18339.singleexemp,p0,0
42342.childexemp,***,0
179074.state,dHI,HI
13705.gender,,F
110902.childexemp,l20,20
60505.singleexemp,,0
23247.state,mGA,GA
56472.childexemp,***,0
147250.singleexemp,100,1500
22065.state,AvK,AK
33719.city,LAMO,ALMO
42004.childexemp,300,3300
58155.childexemp,s0,0
136268.singleexemp,,0
3158.state,eUT,UT
129205.state,J,NJ
27165.state,D,ND
23102.singleexemp,d0,0
115299.childexemp,,0
100062.gender,***,F
136063.marriedexemp,,0
6637.gender,,F
152787.marriedexemp,***,0
182050.singleexemp,***,0
178776.marriedexemp,,0
122744.gender,dF,F
11646.gender,,F
73971.singleexemp,,0
69124.marriedexemp,420,4200
58020.marriedexemp,o0,0
54461.state,C,DC
69023.singleexemp,q0,0
105793.singleexemp,2400***,2400
152713.marriedexemp,t0,0
181658.state,WpV,WV
122369.gender,,F
10463.gender,iF,F
130910.childexemp,,0
64802.marriedexemp,g0,0
118619.city,SOTHINGTON,SOUTHINGTON
173584.state,K,AK
10359.gender,,F
15525.singleexemp,,0
140352.state,KA,AK
34521.state,EN,NE
79194.state,CD,DC
56825.childexemp,,0
79568.childexemp,,0
12260.state,DiC,DC
151068.singleexemp,,0
91534.childexemp,d0,0
159360.state,fME,ME
181338.city,CAlVALIER,CAVALIER
146838.state,DbC,DC
109761.singleexemp,c0,0
73082.city,ALOM,ALMO
113672.childexemp,,0
15435.marriedexemp,2000***,2000
61913.state,KA,AK
169308.childexemp,r0,0
12850.gender,dF,F
81502.state,KA,AK
82837.state,ApK,AK
181248.marriedexemp,***,0
41903.gender,***,M
96226.marriedexemp,e0,0
196070.childexemp,r0,0
194930.marriedexemp,***,0
29440.city,zMYRTLEWOOD,MYRTLEWOOD
183143.city,YUgMA,YUMA
13763.gender,fF,F
111647.childexemp,***,0
79958.state,CD,DC
20137.city,ALEXANDRIxA,ALEXANDRIA
53931.marriedexemp,,0
144602.gender,jF,F
117477.state,DhC,DC
